"","rank","year","continent","economy","port","port_label","lon","lat","volume"
"212",13,"2010","Asia","Malaysia","Port Klang","Port Klang",101.39283,2.999852,8870
"213",12,"2010","Asia","Taiwan","Kaohsiung","Kaohsiung",120.3014353,22.6272784,8872
"214",21,"2010","Asia","China","Dalian","Dalian",121.614682,38.914003,5242
"215",15,"2010","Europe","Germany","Hamburg","Hamburg",9.9936818,53.5510846,7900
"216",14,"2010","Europe","Belgium","Antwerp","Antwerp",4.4024643,51.2194475,8468
"217",19,"2010","Asia","China","Xiamen","Xiamen",118.089425,24.479834,5820
"218",16,"2010","North_America","United States","Los Angeles","Los Angeles",-118.2436849,34.0522342,7832
"219",17,"2010","Asia","Malaysia","Tanjung Pelepas","Tanjung Pelepas",103.551035,1.362374,6530
"220",18,"2010","North_America","United States","Long Beach","Long Beach",-118.1937395,33.7700504,6263
"221",22,"2010","Asia","Thailand","Laem Chabang","Laem Chabang",100.9158073,13.1040552,5068
"222",28,"2010","Asia","Vietnam","Ho Chi Minh City (Saigon)","Saigon",106.6296638,10.8230989,4100
"223",23,"2010","Europe","Germany","Bremen/Bremerhaven","Bremen",8.5809424,53.5395845,4871
"224",20,"2010","North_America","United States","New York and New Jersey","New York",-74.0059413,40.7127837,5292
"225",35,"2010","Asia","China","Yingkou","Yingkou",122.108231,40.266062,3338
"226",24,"2010","Asia","Indonesia","Tanjung Priok (Jakarta)","Jakarta",106.8714848,-6.1320555,4715
"227",29,"2010","Asia","China","Lianyungang","Lianyungang",119.221611,34.596653,3870
"228",25,"2010","Asia","Japan","Tokyo","Tokyo",139.6917064,35.6894875,4286
"229",30,"2010","Asia","India","Mumbai","Mumbai",72.8776559,19.0759837,3857
"230",41,"2010","Europe","Spain","Algeciras","Algeciras",-5.456233,36.1407591,2810
"231",26,"2010","Europe","Spain","Valencia","Valencia",-0.3762881,39.46991,4207
"232",38,"2010","Asia","United Arab Emirates","Khor Fakkan","Khor Fakkan",56.3432629,25.3365669,3023
"233",31,"2010","Asia","Saudi Arabia","Jeddah","Jeddah",39.2375507,21.2854067,3830
"234",27,"2010","Asia","Sri Lanka","Colombo","Colombo",79.861243,6.9270786,4137
"235",43,"2010","South_America","Brazil","Santos","Santos",-46.3288865,-23.9678823,2716
"236",34,"2010","Europe","United Kingdom","Felixstowe","Felixstowe",1.351255,51.961726,3400
"237",37,"2010","Asia","Philippines","Manila","Manila",120.9842195,14.5995124,3257
"238",NA,"2010","North_America","United States","Seattle/Tacoma","Seattle/Tacoma",-122.3088165,47.4502499,NA
"239",45,"2010","Europe","Turkey","Ambarli (Istanbul)","Istanbul",28.7110539,40.9767748,2540
"240",49,"2010","Africa","Morocco","Tanger-Med (Tangiers)","Tangiers",-5.7155548,35.7239191,2058
"241",40,"2010","North_America","United States","Savannah","Savannah",-81.0998342,32.0835407,2825
"242",42,"2010","South_America","Panama","Balboa","Balboa",-117.924131,33.607795,2759
"243",39,"2010","Europe","Italy","Gioia Tauro","Gioia Tauro",15.8988669,38.4262258,2851
"244",32,"2010","Africa","Egypt","Port Said","Port Said",32.3018661,31.2652893,3646
"245",33,"2010","Asia","Oman","Salalah","Salalah",54.1065864,17.0506675,3482
"246",48,"2010","Asia","Taiwan","Keelung","Keelung",121.7391833,25.1276033,2199
"247",46,"2010","North_America","Canada","Vancouver","Vancouver",-123.1207375,49.2827291,2514
"248",47,"2010","Europe","Malta","Malta Freeport","Malta Freeport",14.537637,35.816287,2371
"249",36,"2010","Asia","Japan","Yokohama","Yokohama",139.6380256,35.4437078,3280
"250",44,"2010","Asia","Japan","Nagoya","Nagoya",136.906398,35.1814464,2549
"251",2,"2009","Asia","China","Shanghai","Shanghai",121.473701,31.230416,25002
"252",1,"2009","Asia","Singapore","Singapore","Singapore",103.819836,1.352083,25866
"253",4,"2009","Asia","China","Shenzhen","Shenzhen",114.057865,22.543096,18250
"254",3,"2009","Asia","Hong Kong","Hong Kong","Hong Kong",114.109497,22.396428,20983
"255",8,"2009","Asia","China","Ningbo-Zhoushan","Ningbo/Z-shan",121.9880433,29.9016199,10502
"256",5,"2009","Asia","South Korea","Busan","Busan",129.0756416,35.1795543,11954
"257",9,"2009","Asia","China","Qingdao","Qingdao",120.382609,36.067108,10260
"258",6,"2009","Asia","China","Guangzhou","Guangzhou",113.264385,23.12911,11190
"259",7,"2009","Asia","United Arab Emirates","Jebel Ali (Dubai)","Dubai",55.0272904,24.9857145,11124
"260",11,"2009","Asia","China","Tianjin","Tianjin",117.200983,39.084158,8700
"261",10,"2009","Europe","Netherlands","Rotterdam","Rotterdam",4.4777325,51.9244201,9743
"262",13,"2009","Asia","Malaysia","Port Klang","Port Klang",101.39283,2.999852,7309
"263",12,"2009","Asia","Taiwan","Kaohsiung","Kaohsiung",120.3014353,22.6272784,8581
