IDELST;NOM_AGENCE;NUM_AGENCE;ADRESSE1_AGENCE;ADRESSE2_AGENCE;CP_COMMUNE_AGENCE;NIVEAU;CP;ville;Long;Lat;NCOMMUNE;IRIS_code;idexel
F0F6F0F0F2F0F74040404040404040;AMIENS 3 CAILLOUX;322713480;;60 RUE DES 3 CAILLOUX;80000 AMIENS;6;80000;AMIENS;2.301891;49.89164;80;800211302;207
F0F6F0F0F2F1F04040404040404040;AMIENS SAINT PIERRE;322693669;;136 CHAUSSEE SAINT PIERRE;80080 AMIENS;6;80080;AMIENS;2.30722;49.90367;80;800211503;210
F0F6F0F0F2F1F14040404040404040;AMIENS MAIL ALBERT 1ER;322090141;;39 BOULEVARD MAIGNAN LARIVIERE;80000 AMIENS;6;80000;AMIENS;2.294505;49.889265;80;800211301;211
F0F6F0F0F2F1F24040404040404040;AMIENS HOTEL DE VILLE;322976827;;7 RUE DELAMBRE;80000 AMIENS;6;80000;AMIENS;2.296426;49.893442;80;800211301;212
F0F6F0F0F2F1F34040404040404040;AMIENS JULES BARNI;322222098;;169 RUE JULES BARNI;80000 AMIENS;6;80000;AMIENS;2.314753;49.887501;80;800211001;213
F0F6F0F0F2F1F44040404040404040;AMIENS CAGNY;322502232;;517 RUE DE CAGNY;80090 AMIENS;6;80090;AMIENS;2.32956;49.87531;80;800211002;214
F0F6F0F0F2F1F54040404040404040;AMIENS LIBERATION;322332169;;306 RUE DE ROUEN;80000 AMIENS;6;80000;AMIENS;2.27904;49.88661;80;800210604;215
F0F6F0F0F2F1F64040404040404040;AMIENS SAINT LEU;322223509;RESIDENCE LE PORT ST LEU;43 RUE VANMARCKE;80000 AMIENS;6;80000;AMIENS;2.30203;49.89643;80;800211601;216
F0F6F0F0F2F1F84040404040404040;LONGUEAU;322503666;;16 AVENUE HENRI BARBUSSE;80330 LONGUEAU;6;80330;LONGUEAU;2.35185;49.87271;80;804890000;218
F0F6F0F0F2F1F94040404040404040;CAMON;322493060;;6 RUE MARIUS PETIT;80450 CAMON;6;80450;CAMON;2.34518;49.88737;80;801640000;219
F0F6F0F0F2F2F04040404040404040;ACHEUX EN AMIENOIS;322767522;;30 RUE RAYMOND DE WAZIERES;80560 ACHEUX EN AMIENOIS;6;80560;ACHEUX EN AMIENOIS;2.53619;50.07163;80;800030000;220
F0F6F0F0F2F2F14040404040404040;ALBERT;322641188;;36 RUE DE BIRMINGHAM;80300 ALBERT;6;80300;ALBERT;2.649984;50.003385;80;800160201;221
F0F6F0F0F2F2F24040404040404040;AILLY SUR NOYE;322417049;;54 RUE SADI CARNOT;80250 AILLY SUR NOYE;6;80250;AILLY SUR NOYE;2.36162;49.75469;80;800100000;222
F0F6F0F0F2F2F34040404040404040;CHAULNES;322836529;;PLACE DE LA REPUBLIQUE;80320 CHAULNES;6;80320;CHAULNES;2.80378;49.81544;80;801860000;223
F0F6F0F0F2F2F44040404040404040;BRAY SUR SOMME;322767538;;8 RUE PASTEUR;80340 BRAY SUR SOMME;6;80340;BRAY SUR SOMME;2.71888;49.94006;80;801360000;224
